Submission ID,Authors,Title,Decision,Archival
1,Sanjana Pedada; Aditya Dhavala; Neelraj J. Patil,Shared Selective Persistent Memory for Agentic LLM Systems,Poster,Yes
2,Linhan Li; Chuanqi Jiang; Wenqian Weng; Jacqueline J. Pang; Zhiguo Tao,Hydra: Adaptive Adversarial Attacks for Dynamic Multi-Stage Edge Intelligence Services,Poster,Yes
3,Zhuofeng Li; Dongfu Jiang; Xueguang Ma; Haoxiang Zhang; Ping Nie; Yuyu Zhang; Kai Zou; Jianwen Xie; Yu Zhang; Wenhu Chen,OpenResearcher: A Fully Open Pipeline for Long-Horizon Deep Research Trajectory Synthesis,Poster,No
4,Ruiyang Zhang,Silent Locale Corruption: Diagnosing and Mitigating Chinese-Locale Semantic Failures in LLM Tool Calling,Poster,Yes
6,Hossein A. Rahmani; Satyapriya Krishna; Xi Wang; Mohammadmehdi Naghiaei; Emine Yilmaz,Self-Correcting Large Language Models: Generation vs. Multiple Choice,Poster,Yes
7,Prakhar Khatri,Do Context Files Help Coding Agents? A Two-Agent Ablation Study on Real Repositories,Poster,Yes
17,Zixiang Xu; linna yu; miao xie,A Single-GPU Recipe for Specification-Grounded Industrial Decision Support,Poster,No
18,Leqi Jia; Muhammad Saadat; Marlin Wong; Adithya Venkatesh; Kiran Nijjer,Causal Decomposition of LLM Agent Failure via Oracle-State Intervention,Oral,Yes
19,Jiameng Zhang,When Context Sharing Looks Better Than It Is: Evaluation Pitfalls in Multi-Agent Question Answering,Poster,No
22,Lijuan Tang; Yuemeng Zheng,Measuring the Serving Stack Instead of the Model: Hidden Confounds in Local Tool-Use Evaluation,Poster,Yes
25,Zelin Zhao; Bo Yuan; Yuchen Zhu; Jaemoo Choi; Yongxin Chen,RMA: an Agentic System for Research-Level Mathematical Problems,Poster,No
26,Liang Nie; Hehua Zhang,When Is Agent Tool-Result Cache Reuse Actually Safe?,Poster,No
29,Xiaoxuan Li; Bangbang Liu; Ying Zhao,Authentic but Not Neutral: Selective Evidence in LLM-Agent Leaderboards,Poster,Yes
30,Arunabh Srivastava; Mohammad A. Khojastepour; Srimat Chakradhar; Sennur Ulukus,"GRASP: Generating, Revising, and Assessing for Strategic Planning with Agentic AI",Poster,Yes
35,Chang Liu,Answer or Compute? Direct Inference vs. Code Generation for LLM Game-State Understanding in RTS Games,Poster,Yes
37,deli liu; Xiaoping Zhou; Yu Li,Distance from Equilibrium Is Not the Same as Loss from Equilibrium: A Colonel Blotto Study of LLM Persona Behavior,Poster,No
38,Juntae Lee; Jihwan Bang; Seunghan Yang; Sungha Choi,Foundation First: Stabilizing SLM Agents via Pre-execution Logical Scaffolding,Poster,Yes
40,Andrew Zhang; Chengzhan Li,Agent Step Value: Auditing Evaluation-Channel Sensitivity in Black-Box Agent Traces,Poster,Yes
43,Peter Choi,Reads Are Not Free: Read-Budget-Aware Retrieval and Agent-as-Router for LLM Agents,Poster,No
44,Prasannjeet Singh,PRISM: Bounded Autonomy for LLM Agents via Workflow Projection and Deterministic Consequence Boundaries,Poster,Yes
46,Sina Hajimiri; Masih Aminbeidokhti; Jose Dolz; Ismail Ben Ayed; Issam H. Laradji; Spandana Gella; Nicolas Gontier,Are Online Skill and Memory Modules Always Worth Their Tokens? A Budget-Constrained Study of Web Agents,Oral,No
49,Zhiguo Tao; Linhan Li; Lifan Sun; Zichen Yuan,FUSE: Failure-Guided Scenario Synthesis and Weighted Refinement for LLM Function Calling,Poster,Yes
50,Yifeng He; Yinzhe Zhao; Jicheng Wang; Hao Chen,Is Progressive Disclosure All You Need for Long-Context Agents?,Poster,Yes
51,SHAOBO QIAO,From Credit Assignment to Repair: A Leakage-Controlled Diagnostic Study of Tool-Using Agents,Poster,Yes
52,Samarth Vinayaka,When Should LLM Agents Forget? Memory Filtering Under Query-Critical Resolver Errors,Poster,Yes
56,Jing-Jing Li; Jianfeng He; Chao Shang; Devang Kulshreshtha; Xun Xian; Yi Zhang; Hang Su; Sandesh Swamy; Yanjun Qi,STAC: When Innocent Tools Form Dangerous Chains for LLM Agents,Oral,Yes
59,Amit Maraj; Kannav Sethi,Do Query-Agnostic Memory Structures Earn Their Budget? A 10M-Token Audit with Exact Read Limits,Poster,Yes
60,Yufeng Wang,FounderBench: Evaluating LLM Agents on Sequential Startup Decisions,Poster,No
61,Yihang Chen; Pin Qian; Su Wang; Chong Peng; Huan Xu; Shuaiting Li; Yiqi Sun,Explicit State Elicitation Is Not Enough: A Controlled Audit of Memory-Policy Classification,Poster,Yes
62,Zhang Weizhou; Lixing Lyu,Retrieval is Enough: A Memory-Augmented Agent for Algorithm Selection,Poster,Yes
71,Poli Nemkova; Haeshitha Indukuri,"Decomposing Self-Reflection in LLM Agents: Diagnostic Scaffolds, Uncertainty Labels, and Action Diversity",Poster,Yes
72,Lasse B. Strand; Robert Jakob; Kevin O'Sullivan; Markus Kreft,Agentic AutoRAG: RAG Pipeline Optimization through Reasoning-Driven Agents,Poster,No
73,Teodora Stereciu; Baohao Liao; Christian Herold; Shahram Khadivi; Christof Monz,Agent-Readiness of Synthesized API Tools: Parametric Gravity and the Limits of Documentation Grounding,Poster,Yes
74,Youmna Farag; Svetlana Stoyanchev; Simon Keizer; Mohan Li; Rama Doddipatla,CAPSafe: A Benchmark for Contextual Action and Plan Safety Reasoning in Embodied Agents,Oral,Yes
75,Tommy Tran,Where the Tokens Go: A Measured Anatomy of LLM Agent Trajectory Costs,Poster,Yes
